Código;VR respuesta rápida – Solucionada (?5 min);VR respuesta rápida – Revisión profunda / OT CAPITALBUS;Observación estándar – Reporte CAPITALBUS
NVD-216;"[VR-OK] NVD-216 – Consumo de datos anómalo
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-216 – Consumo de datos anómalo
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): Streaming alto, configuración.
Evidencia mínima a adjuntar: Reporte consumo.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-216. Novedad: Consumo de datos anómalo. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Plan se agota rápido. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-217;"[VR-OK] NVD-217 – Wi?Fi interno (si aplica) caído
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-217 – Wi?Fi interno (si aplica) caído
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Revisar router, SIM/APN, antenas y alimentación; capturar niveles de señal (RSRP/RSRQ), logs y prueba de ping; validar GPS y configuración de reporte.
Posibles causas (referencia): AP apagado.
Evidencia mínima a adjuntar: Foto LEDs.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-217. Novedad: Wi?Fi interno (si aplica) caído. Equipo: Router / GPS / CMS{/CANAL opcional}. Síntoma reportado: Sin SSID. Categoría: Comunicaciones / Reporte. Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-300;"[VR-OK] NVD-300 – Cámara sin imagen (negro)
Se valida video y grabación OK; falla no se reproduce (o recuperada).
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-300 – Cámara sin imagen (negro)
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Cámara dañada, PoE sin energía, cable.
Evidencia mínima a adjuntar: Captura canal + foto puerto PoE.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-300. Novedad: Cámara sin imagen (negro). Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Canal negro; 'No signal'. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-301;"[VR-OK] NVD-301 – Cámara con imagen fija (congelada)
Se valida video y grabación OK; falla no se reproduce (o recuperada).
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-301 – Cámara con imagen fija (congelada)
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Cámara colgada, red.
Evidencia mínima a adjuntar: Video del congelamiento + hora.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-301. Novedad: Cámara con imagen fija (congelada). Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Frame no cambia. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-302;"[VR-OK] NVD-302 – Imagen borrosa
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-302 – Imagen borrosa
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Lente sucio, foco, vibración.
Evidencia mínima a adjuntar: Captura antes/después.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-302. Novedad: Imagen borrosa. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Desenfoque general. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-303;"[VR-OK] NVD-303 – Cámara con mancha
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-303 – Cámara con mancha
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Domo sucio, humedad interna.
Evidencia mínima a adjuntar: Captura mancha + foto domo.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-303. Novedad: Cámara con mancha. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Mancha fija / halo. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-304;"[VR-OK] NVD-304 – Empañamiento/condensación
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-304 – Empañamiento/condensación
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Sello comprometido.
Evidencia mínima a adjuntar: Foto/captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-304. Novedad: Empañamiento/condensación. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Neblina interna. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-305;"[VR-OK] NVD-305 – Reflejo/contraluz
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-305 – Reflejo/contraluz
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Orientación, IR rebotando.
Evidencia mínima a adjuntar: Captura.";"[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-305. Novedad: Reflejo/contraluz. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Brillos; flare. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min)."
NVD-306;"[VR-OK] NVD-306 – IR no funciona
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-306 – IR no funciona
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): IR dañado, config.
Evidencia mínima a adjuntar: Captura noche + config.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-306. Novedad: IR no funciona. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Noche en negro. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-307;"[VR-OK] NVD-307 – IR quemando imagen
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-307 – IR quemando imagen
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Domo sucio, IR refleja.
Evidencia mínima a adjuntar: Captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-307. Novedad: IR quemando imagen. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Exceso de blanco de noche. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-308;"[VR-OK] NVD-308 – Imagen pixelada / macroblock
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-308 – Imagen pixelada / macroblock
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Bitrate bajo, pérdida paquetes.
Evidencia mínima a adjuntar: Captura + parámetros.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-308. Novedad: Imagen pixelada / macroblock. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Cuadros grandes. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-309;"[VR-OK] NVD-309 – Líneas en imagen / interferencia
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-309 – Líneas en imagen / interferencia
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): EMI, masa deficiente.
Evidencia mínima a adjuntar: Captura + medición tierra.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-309. Novedad: Líneas en imagen / interferencia. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Barras horizontales. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-310;"[VR-OK] NVD-310 – Color incorrecto
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-310 – Color incorrecto
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Balance blancos, IR-cut.
Evidencia mínima a adjuntar: Captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-310. Novedad: Color incorrecto. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Imagen verdosa/rojiza. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-311;"[VR-OK] NVD-311 – Imagen muy oscura
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-311 – Imagen muy oscura
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Config, lente sucio.
Evidencia mínima a adjuntar: Captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-311. Novedad: Imagen muy oscura. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Subexpuesta. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-312;"[VR-OK] NVD-312 – Imagen muy clara
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-312 – Imagen muy clara
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Exposición, WDR.
Evidencia mínima a adjuntar: Captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-312. Novedad: Imagen muy clara. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Sobreexpuesta. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-313;"[VR-OK] NVD-313 – Cámara desalineada
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-313 – Cámara desalineada
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Golpe, vibración.
Evidencia mínima a adjuntar: Foto montaje + captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-313. Novedad: Cámara desalineada. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Apunta al techo/piso. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-314;"[VR-OK] NVD-314 – Vibración excesiva
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-314 – Vibración excesiva
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Soporte flojo.
Evidencia mínima a adjuntar: Video en ruta.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-314. Novedad: Vibración excesiva. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Temblor en marcha. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-315;"[VR-OK] NVD-315 – Obstrucción de lente
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-315 – Obstrucción de lente
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Vandalismo.
Evidencia mínima a adjuntar: Foto.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-315. Novedad: Obstrucción de lente. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Sticker/cinta/objeto. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-316;"[VR-OK] NVD-316 – Domo rayado
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-316 – Domo rayado
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Limpieza incorrecta, impacto.
Evidencia mínima a adjuntar: Foto domo.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-316. Novedad: Domo rayado. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Velos/halos. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-317;"[VR-OK] NVD-317 – Cámara se reinicia
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-317 – Cámara se reinicia
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): PoE insuficiente, cámara dañada.
Evidencia mínima a adjuntar: Registro eventos.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-317. Novedad: Cámara se reinicia. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Se cae y vuelve. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-318;"[VR-OK] NVD-318 – Audio con ruido
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-318 – Audio con ruido
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Masa, mic.
Evidencia mínima a adjuntar: Audio muestra.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-318. Novedad: Audio con ruido. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Zumbido. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-319;"[VR-OK] NVD-319 – Sin audio
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-319 – Sin audio
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Mic dañado, canal sin audio.
Evidencia mínima a adjuntar: Captura config.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-319. Novedad: Sin audio. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Mudo. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-320;"[VR-OK] NVD-320 – Cámara frontal con reflejo parabrisas
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-320 – Cámara frontal con reflejo parabrisas
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Mala ubicación/ángulo.
Evidencia mínima a adjuntar: Captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-320. Novedad: Cámara frontal con reflejo parabrisas. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Reflejo vidrio. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-321;"[VR-OK] NVD-321 – Cámara puerta no cubre área
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-321 – Cámara puerta no cubre área
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Ángulo incorrecto.
Evidencia mínima a adjuntar: Captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-321. Novedad: Cámara puerta no cubre área. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Zona ciega. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-322;"[VR-OK] NVD-322 – Cámara interior con baja luz
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-322 – Cámara interior con baja luz
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): IR insuficiente, ubicación.
Evidencia mínima a adjuntar: Captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-322. Novedad: Cámara interior con baja luz. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Noche oscura interior. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-323;"[VR-OK] NVD-323 – Cámara exterior con lluvia en lente
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-323 – Cámara exterior con lluvia en lente
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Sin visera, sello.
Evidencia mínima a adjuntar: Captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-323. Novedad: Cámara exterior con lluvia en lente. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Gotas. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
NVD-324;"[VR-OK] NVD-324 – Pérdida de frames
Se valida operación normal; novedad recuperada/no reproducible en la ventana consultada.
Validación: CMS/Live/Playback/Logs (según aplique).
Acción: Cerrar como «Solucionada en VR» y monitorear 48 h (reabrir si reincide).";"[VR-OT] NVD-324 – Pérdida de frames
Resultado: no recupera en verificación rápida / requiere diagnóstico extendido.
Acción: Solicitar OT correctivo a CAPITALBUS (preferible nocturno).
Actividades en bus: Inspección física: limpieza cúpula, ajuste enfoque/montaje e IR; revisar conector M12/RJ45, cableado y puerto PoE; prueba cruzada y reemplazo de cámara si persiste.
Posibles causas (referencia): Disco/red saturada.
Evidencia mínima a adjuntar: Captura.";[REPORTE CAPITALBUS] Bus {BUS} | Fecha/Hora {FECHA_HORA} | NVD-324. Novedad: Pérdida de frames. Equipo: Cámaras{/CANAL opcional}. Síntoma reportado: Saltos. Categoría: Cámaras (Video/Audio). Acción inmediata: iniciar Verificación rápida (primeros 5 min).
